"index","value"
1978 Jan,167156
1978 Feb,143348
1978 Mar,189439
1978 Apr,182139
1978 May,185964
1978 Jun,193248
1978 Jul,227234
1978 Aug,214183
1978 Sep,206294
1978 Oct,258372
1978 Nov,232309
1978 Dec,169525
1979 Jan,210104
1979 Feb,169559
1979 Mar,198897
1979 Apr,160296
1979 May,190960
1979 Jun,191847
1979 Jul,183544
1979 Aug,219075
1979 Sep,161688
1979 Oct,228335
1979 Nov,221298
1979 Dec,167991
1980 Jan,257647
1980 Feb,230014
1980 Mar,197181
1980 Apr,214386
1980 May,214505
1980 Jun,230727
1980 Jul,245417
1980 Aug,258265
1980 Sep,284005
1980 Oct,321274
1980 Nov,265418
1980 Dec,310891
1981 Jan,382344
1981 Feb,303195
1981 Mar,355551
1981 Apr,313744
1981 May,343600
1981 Jun,315420
1981 Jul,365349
1981 Aug,353349
1981 Sep,338449
1981 Oct,351661
1981 Nov,412065
1981 Dec,326009
1982 Jan,349156
1982 Feb,332799
1982 Mar,477186
1982 Apr,334576
1982 May,470887
1982 Jun,415610
1982 Jul,407495
1982 Aug,380644
1982 Sep,471066
1982 Oct,428948
1982 Nov,433759
1982 Dec,290394
1983 Jan,297557
1983 Feb,300496
1983 Mar,366013
1983 Apr,359488
1983 May,361559
1983 Jun,413015
1983 Jul,492792
1983 Aug,458631
1983 Sep,408515
1983 Oct,445952
1983 Nov,468563
1983 Dec,370503
1984 Jan,431432
1984 Feb,406605
1984 Mar,438078
1984 Apr,384882
1984 May,553442
1984 Jun,506836
1984 Jul,560370
1984 Aug,519189
1984 Sep,458543
1984 Oct,620742
1984 Nov,521693
1984 Dec,436935
1985 Jan,534253
1985 Feb,491395
1985 Mar,624499
1985 Apr,537128
1985 May,680066
1985 Jun,582908
1985 Jul,763389
1985 Aug,655079
1985 Sep,631641
1985 Oct,783934
1985 Nov,660866
1985 Dec,756536
1986 Jan,741444
1986 Feb,657000
1986 Mar,628369
1986 Apr,693027
1986 May,625136
1986 Jun,650768
1986 Jul,747126
1986 Aug,694458
1986 Sep,738350
1986 Oct,705528
1986 Nov,501249
1986 Dec,599747
1987 Jan,629710
1987 Feb,624525
1987 Mar,652949
1987 Apr,590177
1987 May,531311
1987 Jun,729379
1987 Jul,718268
1987 Aug,547579
1987 Sep,622058
1987 Oct,665272
1987 Nov,661735
1987 Dec,621014
1988 Jan,574889
1988 Feb,677734
1988 Mar,717075
1988 Apr,653612
1988 May,690697
1988 Jun,665864
1988 Jul,830701
1988 Aug,789303
1988 Sep,617808
1988 Oct,805775
1988 Nov,909449
1988 Dec,599973
1989 Jan,955874
1989 Feb,799494
1989 Mar,876097
1989 Apr,823300
1989 May,900079
1989 Jun,860754
1989 Jul,923882
1989 Aug,1121084
1989 Sep,741757
1989 Oct,966066
1989 Nov,901978
1989 Dec,648659
1990 Jan,852732
1990 Feb,706036
1990 Mar,835792
1990 Apr,722489
1990 May,714262
1990 Jun,739459
1990 Jul,816834
1990 Aug,743082
1990 Sep,683375
1990 Oct,1006000
1990 Nov,866000
1990 Dec,644000
1991 Jan,703000
1991 Feb,699000
1991 Mar,713000
1991 Apr,688000
1991 May,672000
1991 Jun,6e+05
1991 Jul,847000
1991 Aug,697000
1991 Sep,687000
1991 Oct,973000
1991 Nov,796000
1991 Dec,658000
1992 Jan,709000
1992 Feb,798000
1992 Mar,820000
1992 Apr,776000
1992 May,699000
1992 Jun,828433
1992 Jul,942131
1992 Aug,792916
1992 Sep,864942
1992 Oct,982689
1992 Nov,948143
1992 Dec,874863
1993 Jan,735794
1993 Feb,854605
1993 Mar,1284216
1993 Apr,961585
1993 May,818379
1993 Jun,1079498
1993 Jul,1095091
1993 Aug,1008925
1993 Sep,967118
1993 Oct,1127715
